,id,name,address,postal_code,charger_level,lat,lng,cost,gg_address,gg_lat,gg_lng,city,province
1,CEA-10097,DGI - Complexe Desjardins,"1251 rue Jeanne-Mance, Montréal, QC",H2X 3Y2,Level2,45.507924,-73.56414000000001,"1,00 $ (CAD) de l'heure","1251 Rue Jeanne-Mance, Montréal, QC H2X, Canada",45.5070394,-73.5651293,Montréal,QC
11,CEA-11250,RIO - Parc Olympique,"4141 Avenue Pierre-De Coubertin, Montréal, QC",H1V 3N7,Level2,45.5554177287515,-73.5513811997223,"2,50 $ (CAD) par session","4141 Avenue Pierre-De Coubertin, Montréal, QC H1V 3N7, Canada",45.559774,-73.5514832,Montréal,QC
15,CEA-10306,301 | BSR | RPP | 6511 St-André,"6511 Rue Saint-André, Montréal, QC",H2S 2K7,Level2,45.536686,-73.60300500000001,"1,00 $ (CAD) de l'heure","6511 Rue Saint-André, Montréal, QC H2S 2K7, Canada",45.536734,-73.6030444,Montréal,QC
20,CEA-10848,717 | BSR | CDN-NDG | 5225 Sherbrooke,"5252 Sherbrooke, Montréal, QC",H4A 1V1,Level2,45.474704,-73.608527,"1,00 $ (CAD) de l'heure","5252 Rue Sherbrooke E, Montréal, QC H1N, Canada",45.568083200000004,-73.5521558,Montréal,QC
21,CEA-10156,703 | BSR | CDN-NDG | 5038 rue Sherbrooke O,"5038 Sherbrooke O, Montréal, QC",H4A 1S7,Level2,45.476487,-73.606153,"1,00 $ (CAD) de l'heure","5038 Rue Sherbrooke Ouest, Montréal, QC H4A 1S7, Canada",45.4763895,-73.6059853,Montréal,QC
28,CEA-10637,808 | BSR | SO | 6098 Mazarin,"6098 Rue Mazarin, Montréal, QC",H4E 2X2,Level2,45.456132,-73.60130799999999,"1,00 $ (CAD) de l'heure","6098 Rue Mazarin, Montréal, QC H4E 2X2, Canada",45.456127,-73.601213,Montréal,QC
29,CEA-11014,105 | BSR | AC | 1530 Fleury,"1530 rue Fleury, Montréal, QC",H2C 2Y6,Level2,45.562906,-73.656227,"1,00 $ (CAD) de l'heure","1530 Rue Fleury E, Montréal, QC H2C 2Y6, Canada",45.5629748,-73.6561512,Montréal,QC
30,CEA-10378,109 | BSR | AC | 205 Chabanel,"205 Rue Chabanel O, Montréal, QC",H2N 1G3,Level2,45.540928,-73.653312,"1,00 $ (CAD) de l'heure","205 Rue Chabanel O, Montréal, QC H2N 1G3, Canada",45.540977000000005,-73.6536969,Montréal,QC
31,CEA-10843,320 | BSR | RPP | 3810 Rosemont,"3810 boul. Rosemont, Montréal, QC",H1X 2P6,Level2,45.5578,-73.576045,"1,00 $ (CAD) de l'heure","3810 Boulevard Rosemont, Montréal, QC H1X 1L4, Canada",45.5578734,-73.575942,Montréal,QC
32,CEA-10183,625 | BSR | VM | 1956 Frontenac,"1956 Rue Frontenac, Montréal, QC",H2K 2Z1,Level2,45.532725,-73.552184,"1,00 $ (CAD) de l'heure","1956 Rue Frontenac, Montréal, QC H2K 2Z1, Canada",45.5325695,-73.5521119,Montréal,QC
35,CEA-10840,316 | BSR | RPP | 4300 Bélanger,"4300A Bélanger, Montréal, QC",H1T 3M1,Level2,45.566674,-73.585495,"1,00 $ (CAD) de l'heure","4300 Rue Bélanger, Montréal, QC H1T 1A7, Canada",45.5667637,-73.5854248,Montréal,QC
36,CEA-10544,820 | BSR | SO | 3041 Notre-Dame,"3041 Notre-Dame , Montréal, QC",H4C 2J2,Level2,45.480917,-73.578968,"1,00 $ (CAD) de l'heure","3041 Rue Notre-Dame Ouest, Montréal, QC H4C 1N9, Canada",45.480889000000005,-73.5787889,Montréal,QC
42,CEA-11480,331 | BSR | RPP | 6679 Rue Garnier,"6679 Rue Garnier, Montréal, QC",H2G 3A2,Level2,45.5428645,-73.601371,"1,00 $ (CAD) de l'heure","6679 Rue Garnier, Montréal, QC H2G 3A2, Canada",45.542891999999995,-73.60115,Montréal,QC
45,CEA-10070,DGI - Complexe Desjardins,"1251 rue Jeanne-Mance, Montréal, QC",H2X 3Y2,Level2,45.507924,-73.56414000000001,"1,00 $ (CAD) de l'heure","1251 Rue Jeanne-Mance, Montréal, QC H2X, Canada",45.5070394,-73.5651293,Montréal,QC
46,CEA-10448,801 | BSR | SO | 3451 St-Jacques,"3451 Rue Saint-Jacques, Montréal, QC",H4C 1H2,Level2,45.48193,-73.582383,"1,00 $ (CAD) de l'heure","3451 Rue Saint-Jacques, Montréal, QC H4C 1H2, Canada",45.4822301,-73.58218719999999,Montréal,QC
47,CEA-10690,411 | BSR | MHM | 3450 Ste-Catherine,"3450 Ste-Catherine, Montréal, QC",H1W 2E2,Level2,45.541957,-73.539358,"1,00 $ (CAD) de l'heure","3450 Rue Sainte-Catherine E, Montréal, QC H1W 2E2, Canada",45.5418559,-73.5393527,Montréal,QC
48,CEA-11295,231 | BSR | VSMPE | 3901 Jarry,"3901 jarry E, Montréal, QC",H1Z 2G1,Level2,45.569855,-73.604919,"1,00 $ (CAD) de l'heure","3901 Rue Jarry E, Montréal, QC H1Z 2G1, Canada",45.57100820000001,-73.6047437,Montréal,QC
51,CEA-083,580 | BHR | PMR | 4365 Cartier : Aréna Mont-Royal,"4365 Cartier Rue, Montréal, Montréal, QC",H2H 2N9,Level2,45.533424,-73.57226,"2,50 $ (CAD) par session","4365 Rue Cartier, Montréal, QC H2H 2N9, Canada",45.533234,-73.571813,Montréal,QC
54,CEA-10356,709 | BSR | CDN-NDG |5137 Décarie,"5137 Décarie, Montréal, QC",H3W 3C2,Level2,45.484167,-73.629705,"1,00 $ (CAD) de l'heure","5137 Boulevard Décarie, Montréal, QC H3W 3C3, Canada",45.4843052,-73.6295153,Montréal,QC
55,CEA-11188,116 | BSR | AC | 10625 Francis,"10625 Rue Francis, Montréal, QC",H2C 3A5,Level2,45.565295,-73.660453,"1,00 $ (CAD) de l'heure","10625 Rue Francis, Montréal, QC H2C 3A5, Canada",45.5653481,-73.6603467,Montréal,QC
59,CEA-10262,211 | BSR | VSMPE | 625 Liege O,"625 Liege O, Montréal, QC",H3N 1A7,Level2,45.532997,-73.642027,"1,00 $ (CAD) de l'heure","625 Rue de Liège O, Montréal, QC H3N 1A7, Canada",45.533015999999996,-73.64207259999999,Montréal,QC
60,CEA-10612,412 | BSR | MHM | 2222 Valois,"2222 Avenue Valois , Montréal, QC",H1W 3M5,Level2,45.548361,-73.54682700000001,"1,00 $ (CAD) de l'heure","2222 Avenue Valois, Montréal, QC H1W 3M5, Canada",45.548027000000005,-73.54698540000001,Montréal,QC
62,CEA-10844,713 | BSR | CDN-NDG | 5468 Claranald,"5468A Claranald, Montréal, QC",H3X 2S7,Level2,45.483967,-73.637694,"1,00 $ (CAD) de l'heure","5468 Avenue Clanranald, Montréal, QC H3X 2S3, Canada",45.4837375,-73.63781469999999,Montréal,QC
63,CEA-10740,224 | BSR | VSMPE | 7200 Hutchison,"7200 Hutchison, Montréal, QC",H3N 1Z2,Level2,45.529826,-73.62305,"1,00 $ (CAD) de l'heure","7200 Rue Hutchison, Montréal, QC H3N 1Z2, Canada",45.529608,-73.62315699999999,Montréal,QC
69,CEA-10380,708 | BSR | CDN-NDG | 6200 Côte Des-Neiges,"6200 ch. de la Côte-des-Neiges, Montréal, QC",H3S 2A1,Level2,45.500598,-73.632462,"1,00 $ (CAD) de l'heure","6200 Chemin de la Côte-des-Neiges, Montréal, QC H3S 2A1, Canada",45.500826200000006,-73.63260240000001,Montréal,QC
74,CEA-11239,826 | BSR | SO | 2855 Centre,"2855 rue du Centre, Montréal, QC",H4C 3B4,Level2,45.476501,-73.57244,"1,00 $ (CAD) de l'heure","2855 Rue Centre, Montréal, QC H3K 3C4, Canada",45.4765656,-73.57280159999999,Montréal,QC
76,CEA-11202,830 | BSR | SO | 256 Charlevoix,"256 Charlevoix, Montréal, QC",H3J 1N7,Level2,45.482396,-73.57547199999999,"1,00 $ (CAD) de l'heure","256 Rue Charlevoix, Montréal, QC H3J 1N7, Canada",45.4820981,-73.57517840000001,Montréal,QC
