id,name,address,postal_code,charger_level,lat,lng,cost,gg_address,gg_lat,gg_lng,city,province
CEA-10804,FCR - Place Nelligan,"1134 St-René Boulevard West, Gatineau, QC",J8T 6H1,Level2,45.487851,-75.70122,"1,00 $ (CAD) de l'heure","1134 Boulevard Saint-René O, Gatineau, QC J8T 8A5, Canada",45.4881818,-75.7013584,Gatineau,QC
CEA-10097,DGI - Complexe Desjardins,"1251 rue Jeanne-Mance, Montréal, QC",H2X 3Y2,Level2,45.507924,-73.56414,"1,00 $ (CAD) de l'heure","1251 Rue Jeanne-Mance, Montréal, QC H2X, Canada",45.5070394,-73.5651293,Montréal,QC
CEA-11115,Municipalité de Saint-Adrien,"1589 Principale, Saint-Adrien, QC",J0A 1C0,Level2,45.8195769,-71.7250025,"1,00 $ (CAD) de l'heure","1589 Rue Principale, Saint-Adrien, QC J0A 1C0, Canada",45.8195769,-71.7228138,Saint-Adrien,QC
CEC-00073,BRCC - CDSMML - Paspébiac,"5 Boul. Gérard-D-Lévesque Est, Pasbébiac, QC",G0C 2K0,FastDC,48.029571,-65.24814,"10,00 $ (CAD) de l'heure","5 Boulevard Gérard D. Levesque E, Paspébiac, QC G0C 2K0, Canada",48.0293177,-65.2481624,Paspébiac,QC
CEA-067,1482 | BHR | SLA | 2727 Thiemens : Bibliothèque du Boisé,"2727 boul. Thimens, Saint-Laurent, QC",H4R 1T4,Level2,45.504816,-73.70434,"2,50 $ (CAD) par session","2727 Boulevard Thimens, Saint-Laurent, QC H4R 1T4, Canada",45.5041464,-73.7053753,Saint-Laurent,QC
CEA-10480,Sur Rue - Mont Tremblant - Parc Daniel-Lauzon,"268 rue du Couvent, Mont Tremblant, QC",J8E 1K6,Level2,46.195234,-74.623006,"1,00 $ (CAD) de l'heure","268 Rue du Couvent, Mont-Tremblant, QC J8E 1K6, Canada",46.1947265,-74.6237423,Mont-Tremblant,QC
CEC-00062,BRCC - Ville d'Otterburn Park - Halte Touristique,"761 chemin des Patriotes, Otterburn Park, QC",J3H 1Z5,FastDC,45.544704,-73.211785,"10,00 $ (CAD) de l'heure","761 Chemin des Patriotes Sud, Otterburn Park, QC J3H, Canada",45.5442378,-73.212485,Otterburn Park,QC
CEC-00194,BRCC - Val-d'Or - Dépanneur Voisin Beauséjour,"315 route 117, Val d'Or, QC",J9P 7C4,FastDC,48.07221,-77.382662,"10,00 $ (CAD) de l'heure","315 QC-117, Val-d'Or, QC J9P 7C4, Canada",48.0725876,-77.3829689,Val-d'Or,QC
CEA-238,Hydro-Québec - CA Lebourgneuf,"2625 boul. Lebourgneuf, Québec, QC",G2C 1P1,Level2,46.825934253917,-71.3167104232787,"2,50 $ (CAD) par session","2625 Boulevard Lebourgneuf, Québec, QC G2C 1S2, Canada",46.8259053,-71.3167393,Québec,QC
CEA-461,Shawinigan - Aréna Gilles Bourassa,"1705 117e rue, Shawinigan-Sud, QC",G9N 6V3,Level2,46.51708,-72.75541,"1,00 $ (CAD) de l'heure","117 Rue Bouvette #1705, Shawinigan-Sud, QC G9P 4X1, Canada",46.5285842,-72.7405363,Shawinigan-Sud,QC
CEA-10277,Ski Garceau,"190 Chemin du Lac Blanc, Saint-Donat-de-Montcalm, QC",J0T 2C0,Level2,46.337653,-74.22065,"1,00 $ (CAD) de l'heure","190 Chemin du Lac Blanc, Saint-Donat-de-Montcalm, QC J0T 2C0, Canada",46.3375174,-74.2200672,Saint-Donat-de-Montcalm,QC
CEA-11250,RIO - Parc Olympique,"4141 Avenue Pierre-De Coubertin, Montréal, QC",H1V 3N7,Level2,45.5554177287515,-73.5513811997223,"2,50 $ (CAD) par session","4141 Avenue Pierre-De Coubertin, Montréal, QC H1V 3N7, Canada",45.559774,-73.5514832,Montréal,QC
CEA-10630,Le Westin Resort & Spa - Tremblant,"100 chemin de Kandahar, Mont-Tremblant, QC",J8E 1E2,Level2,46.212627,-74.586809,"1,00 $ (CAD) de l'heure","100 Chemin de Kandahar, Mont-Tremblant, QC J8E 1E2, Canada",46.2129653,-74.5864231,Mont-Tremblant,QC
CEA-470,St-Hubert - Beauport,"3410 boul. Ste-Anne, Québec, QC",G1E 3L7,Level2,46.852512,-71.19589,"1,00 $ (CAD) de l'heure","3410 Boulevard Sainte-Anne, Québec, QC G1E 3L7, Canada",46.8526133,-71.1957403,Québec,QC
CEA-10392,Beaconsfield - Parc Christmas,"424 boul Beaconsfield, Beaconsfield, QC",H9W 4B7,Level2,45.419853,-73.87836,"1,00 $ (CAD) de l'heure","424 Boulevard Beaconsfield, Beaconsfield, QC H9W 4B7, Canada",45.4198769,-73.8785848,Beaconsfield,QC
CEA-10306,301 | BSR | RPP | 6511 St-André,"6511 Rue Saint-André, Montréal, QC",H2S 2K7,Level2,45.536686,-73.603005,"1,00 $ (CAD) de l'heure","6511 Rue Saint-André, Montréal, QC H2S 2K7, Canada",45.536734,-73.6030444,Montréal,QC
CEA-10031,St-Hubert - Mont-Tremblant,"330 rue de St-Jovite, Mont-Tremblant, QC",J8E 2Z9,Level2,46.1191986571841,-74.5683603067112,"1,00 $ (CAD) de l'heure","330 Rue de Saint Jovite, Mont-Tremblant, QC J8E 2Z9, Canada",46.1190817,-74.5685701,Mont-Tremblant,QC
CEA-10202,Decarie Square,"6900 Boul. Décarie, Montréal, QC",H3X 2T8,Level2,45.490428,-73.650335,"1,00 $ (CAD) de l'heure","6900 Boulevard Décarie, Côte Saint-Luc, QC H3X 2T8, Canada",45.4909446,-73.6507432,Côte Saint-Luc,QC
CEA-006,PJC - Greenfield Park,"3216 boulevard Taschereau, Greenfield Park, QC",J4V 2H3,Level2,45.495291168277,-73.4836227681922,"1,00 $ (CAD) de l'heure","3216 Boulevard Taschereau, Greenfield Park, QC J4V 2H3, Canada",45.49556,-73.4834819,Greenfield Park,QC
CEC-00099,BRCC - St-Hubert - St-Hyacinthe,"1230 rue Johnson Ouest, St-Hyacinthe, QC",J2S 7K7,FastDC,45.640278,-72.969306,"10,00 $ (CAD) de l'heure","1230 Rue Daniel - Johnson O, Saint-Hyacinthe, QC J2S 7K7, Canada",45.6404784,-72.9686036,Saint-Hyacinthe,QC
CEA-10848,717 | BSR | CDN-NDG | 5225 Sherbrooke,"5252 Sherbrooke, Montréal, QC",H4A 1V1,Level2,45.474704,-73.608527,"1,00 $ (CAD) de l'heure","5252 Rue Sherbrooke E, Montréal, QC H1N, Canada",45.5680832,-73.5521558,Montréal,QC
CEA-10156,703 | BSR | CDN-NDG | 5038 rue Sherbrooke O,"5038 Sherbrooke O, Montréal, QC",H4A 1S7,Level2,45.476487,-73.606153,"1,00 $ (CAD) de l'heure","5038 Rue Sherbrooke Ouest, Montréal, QC H4A 1S7, Canada",45.4763895,-73.6059853,Montréal,QC
CEA-10465,Municipalité de Saint-Étienne-des-Grès,"1260 rue Saint-Alphonse, Saint-Étienne-des-Grès, QC",G0X 2P0,Level2,46.441985,-72.771073,"1,00 $ (CAD) de l'heure","1260 Rue Saint Alphonse, Saint-Étienne-des-Grès, QC G9C 1M2, Canada",46.4421056,-72.7708031,Saint-Étienne-des-Grès,QC
CEA-124,FCR - Carrefour St-David Ouest,"2837 avenue St-David, Québec, Q",G1C 0J3,Level2,46.865528,-71.216852,"1,00 $ (CAD) de l'heure","2837 Avenue St David, Québec, QC G1C 0J3, Canada",46.86537,-71.2170749,Québec,QC
CEA-11179,Laval - Centre communautaire Lausanne,"1333 boul. Chomedey, bureau 601, Laval, QC",H7V 3Z4,Level2,45.618488,-73.719237,"1,00 $ (CAD) de l'heure","1333 Boulevard Chomedey bureau 601, Laval, QC H7V 3Y1, Canada",45.5505888,-73.7438461,Laval,QC
CEA-090,1280 | BHR | SLE | 5300 Robert : Aréna Martin-Brodeur,"5300 Boulevard Robert, St-Léonard, QC",H1R 1R1,Level2,45.58554,-73.59837,"2,50 $ (CAD) par session","5300 Boulevard Robert, Saint-Léonard, QC H1R 1P9, Canada",45.5853269,-73.5987611,Saint-Léonard,QC
CEA-10100,Musée J. Armand Bombardier,"1001 Avenue J.A. Bombardier, Valcourt, QC",J0E 2L0,Level2,45.494204,-72.310161,"2,50 $ (CAD) par session","1001 Avenue Ja Bombardier, Valcourt, QC J0E 2L0, Canada",45.494398,-72.3102186,Valcourt,QC
CEA-11445,1302 | BSR | OUTR | 123 Querbes,"123 Avenue Querbes, Montréal, QC",H3T 1Z1,Level2,45.517579,-73.598371,"2,50 $ (CAD) par session","123 Avenue Querbes, Outremont, QC H2V 3V8, Canada",45.5178083,-73.5980917,Outremont,QC
CEA-10637,808 | BSR | SO | 6098 Mazarin,"6098 Rue Mazarin, Montréal, QC",H4E 2X2,Level2,45.456132,-73.601308,"1,00 $ (CAD) de l'heure","6098 Rue Mazarin, Montréal, QC H4E 2X2, Canada",45.456127,-73.601213,Montréal,QC
CEA-11014,105 | BSR | AC | 1530 Fleury,"1530 rue Fleury, Montréal, QC",H2C 2Y6,Level2,45.562906,-73.656227,"1,00 $ (CAD) de l'heure","1530 Rue Fleury E, Montréal, QC H2C 2Y6, Canada",45.5629748,-73.6561512,Montréal,QC
CEA-10378,109 | BSR | AC | 205 Chabanel,"205 Rue Chabanel O, Montréal, QC",H2N 1G3,Level2,45.540928,-73.653312,"1,00 $ (CAD) de l'heure","205 Rue Chabanel O, Montréal, QC H2N 1G3, Canada",45.540977,-73.6536969,Montréal,QC
CEA-10843,320 | BSR | RPP | 3810 Rosemont,"3810 boul. Rosemont, Montréal, QC",H1X 2P6,Level2,45.5578,-73.576045,"1,00 $ (CAD) de l'heure","3810 Boulevard Rosemont, Montréal, QC H1X 1L4, Canada",45.5578734,-73.575942,Montréal,QC
CEA-10183,625 | BSR | VM | 1956 Frontenac,"1956 Rue Frontenac, Montréal, QC",H2K 2Z1,Level2,45.532725,-73.552184,"1,00 $ (CAD) de l'heure","1956 Rue Frontenac, Montréal, QC H2K 2Z1, Canada",45.5325695,-73.5521119,Montréal,QC
CEA-152,St-Hubert - Rimouski,"395 Boulevard Arthur-Buies Est, Rimouski, QC",G5M 1Y1,Level2,48.4529157001154,-68.4942690674591,"1,00 $ (CAD) de l'heure","395 Boulevard Arthur-Buies E, Rimouski, QC G5M 0B2, Canada",48.4528653,-68.4942822,Rimouski,QC
CEA-197,Hydro-Québec - St-Hubert,"5250 Armand-Frappier, St-Hubert, QC",J3Z 1G3,Level2,45.45869,-73.40989,"2,50 $ (CAD) par session","5250 Rue Armand-Frappier, Saint-Hubert, QC J3Z 1G3, Canada",45.4586545,-73.4091738,Saint-Hubert,QC
CEA-10840,316 | BSR | RPP | 4300 Bélanger,"4300A Bélanger, Montréal, QC",H1T 3M1,Level2,45.566674,-73.585495,"1,00 $ (CAD) de l'heure","4300 Rue Bélanger, Montréal, QC H1T 1A7, Canada",45.5667637,-73.5854248,Montréal,QC
CEA-10544,820 | BSR | SO | 3041 Notre-Dame,"3041 Notre-Dame , Montréal, QC",H4C 2J2,Level2,45.480917,-73.578968,"1,00 $ (CAD) de l'heure","3041 Rue Notre-Dame Ouest, Montréal, QC H4C 1N9, Canada",45.480889,-73.5787889,Montréal,QC
CEA-11172,Municipalité de Natashquan,"29 Chemin d'en Haut, Natashquan, QC",G0G 2E0,Level2,50.18635,-61.822233,"1,00 $ (CAD) de l'heure","29 Chemin d'en Haut, Natashquan, QC G0G 2E0, Canada",50.1847727,-61.8166283,Natashquan,QC
CEA-245,Lacolle - Halte Cycliste,"103 Rue de l'Église Sud, Lacolle, QC",J0J 1J0,Level2,45.074214,-73.37503,"1,00 $ (CAD) de l'heure","103 Rue de l'Église S, Lacolle, QC J0J 1J0, Canada",45.0736084,-73.3755481,Lacolle,QC
